name, description, effectValue, effectValue2
【【メイス】天才の護身術 Lv1】, , 20, 0
【【メイス】天才の護身術 Lv1】, , 20, 0
【メイス】天才の護身術 Lv2, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】天才の護身術 Lv2】, , 30, 0
【【メイス】天才の護身術 Lv2】, , 30, 0
【メイス】天才の護身術 Lv3, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】天才の護身術 Lv3】, , 40, 0
【【メイス】天才の護身術 Lv3】, , 40, 0
【メイス】天才の護身術 Lv4, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】天才の護身術 Lv4】, , 50, 0
【【メイス】天才の護身術 Lv4】, , 50, 0
【メイス】天才の護身術 Lv5, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】天才の護身術 Lv5】, , 60, 0
【【メイス】天才の護身術 Lv5】, , 60, 0
鋼の肉体　Lv1 , 魔法防御力が増加する。, 5, 0
鋼の肉体　Lv2, 魔法防御力が増加する。, 10, 0
鋼の肉体　Lv3, 魔法防御力が増加する。, 15, 0
鋼の肉体　Lv4, 魔法防御力とSP回復量が増加する。, 0, 0
【鋼の肉体　Lv4】, , 20, 0
【鋼の肉体　Lv4】, , 0.125, 0
鋼の肉体　Lv5, 魔法防御力とSP回復量が増加する。, 0, 0
【鋼の肉体　Lv5】, , 25, 0
【鋼の肉体　Lv5】, , 0.15, 0
【メイス】スキル量UP Lv1, メイスを装備すると、スキルゲージが溜まりやすくなる。, 0.1, 0
【メイス】スキル量UP Lv2, メイスを装備すると、スキルゲージが溜まりやすくなる。, 0.125, 0
【メイス】スキル量UP Lv3, メイスを装備すると、スキルゲージが溜まりやすくなる。, 0.15, 0
【メイス】スキル量UP Lv4, メイスを装備すると、スキルゲージが溜まりやすくなる。, 0.175, 0
【メイス】スキル量UP Lv5, メイスを装備すると、スキルゲージが溜まりやすくなる。, 0.2, 0
デュプリケイト Lv1, マニュアルアイテムを使用する際、一定確率でアイテムを消費しない。, 0.2, 0
デュプリケイト Lv2, マニュアルアイテムを使用する際、一定確率でアイテムを消費しない。, 0.3, 0
デュプリケイト Lv3, マニュアルアイテムを使用する際、一定確率でアイテムを消費しない。, 0.4, 0
デュプリケイト Lv4, マニュアルアイテムを使用する際、一定確率でアイテムを消費しない。, 0.5, 0
デュプリケイト Lv5, マニュアルアイテムを使用する際、一定確率でアイテムを消費しない。, 0.6, 0
攻撃アイテム超強化　Lv1, 自身が使用する攻撃系アイテムのダメージが上がる。リーダー設定時はマニュアルアイテムにも適用される。, 0.2, 0
攻撃アイテム超強化　Lv2, 自身が使用する攻撃系アイテムのダメージが上がる。リーダー設定時はマニュアルアイテムにも適用される。, 0.4, 0
攻撃アイテム超強化　Lv3, 自身が使用する攻撃系アイテムのダメージが上がる。リーダー設定時はマニュアルアイテムにも適用される。, 0.6, 0
攻撃アイテム超強化　Lv4, 自身が使用する攻撃系アイテムのダメージが上がる。リーダー設定時はマニュアルアイテムにも適用される。, 0.8, 0
攻撃アイテム超強化　Lv5, 自身が使用する攻撃系アイテムのダメージが上がる。リーダー設定時はマニュアルアイテムにも適用される。, 1, 0
【メイス】冒険者の血筋 Lv1, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】冒険者の血筋 Lv1】, , 12, 0
【【メイス】冒険者の血筋 Lv1】, , 8, 0
【メイス】冒険者の血筋 Lv2, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】冒険者の血筋 Lv2】, , 24, 0
【【メイス】冒険者の血筋 Lv2】, , 16, 0
【メイス】冒険者の血筋 Lv3, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】冒険者の血筋 Lv3】, , 36, 0
【【メイス】冒険者の血筋 Lv3】, , 24, 0
【メイス】冒険者の血筋 Lv4, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】冒険者の血筋 Lv4】, , 48, 0
【【メイス】冒険者の血筋 Lv4】, , 32, 0
【メイス】冒険者の血筋 Lv5, メイスを装備すると、物理防御力と魔法防御力が上がる。, 0, 0
【【メイス】冒険者の血筋 Lv5】, , 60, 0
【【メイス】冒険者の血筋 Lv5】, , 40, 0
ツンデレ Lv1, 自身のHPが半分以下のとき、被ダメージが下がる。, 0.05, 0
ツンデレ Lv2, 自身のHPが半分以下のとき、被ダメージが下がる。, 0.075, 0
ツンデレ Lv3, 自身のHPが半分以下のとき、被ダメージが下がる。, 0.1, 0
ツンデレ Lv4, 自身のHPが半分以下のとき、被ダメージが下がる。, 0.125, 0
ツンデレ Lv5, 自身のHPが半分以下のとき、被ダメージが下がる。, 0.15, 0
生徒会長 Lv1, 戦闘開始時に全員の物理攻撃力が少し上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
生徒会長 Lv2, 戦闘開始時に全員の物理攻撃力、魔法攻撃力が少し上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
生徒会長 Lv3, 戦闘開始時に全員の物理攻撃力、魔法攻撃力、物理防御力が少し上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
生徒会長 Lv4, 戦闘開始時に全員の物理攻撃力、魔法攻撃力、物理防御力、魔法防御力が少し上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
生徒会長 Lv5, 戦闘開始時に全員の物理攻撃力、魔法攻撃力、物理防御力、魔法防御力、素早さが少し上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
【槍】素早さ強化　Lv1, 槍を装備すると、敏捷性が上がる。, 4, 0
【槍】素早さ強化　Lv2, 槍を装備すると、敏捷性が上がる。, 6, 0
【槍】素早さ強化　Lv3, 槍を装備すると、敏捷性が上がる。, 8, 0
【槍】素早さ強化　Lv4, 槍を装備すると、敏捷性が上がる。, 10, 0
【槍】素早さ強化　Lv5, 槍を装備すると、敏捷性が上がる。, 12, 0
魔法使いの素養 Lv1, スキルゲージ回復量がアップし、さらにスキル威力が上昇する。, 0, 0
【魔法使いの素養 Lv1】, , 0.1, 0
【魔法使いの素養 Lv1】, , 0.05, 0
魔法使いの素養 Lv2, スキルゲージ回復量がアップし、さらにスキル威力が上昇する。, 0, 0
【魔法使いの素養 Lv2】, , 0.125, 0
【魔法使いの素養 Lv2】, , 0.07, 0
魔法使いの素養 Lv3, スキルゲージ回復量がアップし、さらにスキル威力が上昇する。, 0, 0
【魔法使いの素養 Lv3】, , 0.15, 0
【魔法使いの素養 Lv3】, , 0.09, 0
魔法使いの素養 Lv4, スキルゲージ回復量がアップし、さらにスキル威力が上昇する。, 0, 0
【魔法使いの素養 Lv4】, , 0.175, 0
【魔法使いの素養 Lv4】, , 0.11, 0
魔法使いの素養 Lv5, スキルゲージ回復量がアップし、さらにスキル威力が上昇する。, 0, 0
【魔法使いの素養 Lv5】, , 0.2, 0
【魔法使いの素養 Lv5】, , 0.13, 0
シールディング Lv1, 物理耐性を高め、状態異常にかかりづらくなる。, 0, 0
【シールディング Lv1】, , 0.05, 0
【シールディング Lv1】, , 0, 0
シールディング Lv2, 物理耐性を高め、状態異常にかかりづらくなる。, 0, 0
【シールディング Lv2】, , 0.1, 0
【シールディング Lv2】, , 0, 0
シールディング Lv3, 物理耐性を高め、状態異常にかかりづらくなる。, 0, 0
【シールディング Lv3】, , 0.15, 0
【シールディング Lv3】, , 0, 0
シールディング Lv4, 物理耐性を高め、状態異常にかかりづらくなる。, 0, 0
【シールディング Lv4】, , 0.2, 0
【シールディング Lv4】, , 0, 0
シールディング Lv5, 物理耐性を高め、状態異常にかかりづらくなる。, 0, 0
【シールディング Lv5】, , 0.25, 0
【シールディング Lv5】, , 0, 0
マジックウォード Lv1 , 一定確率で瀕死の味方への攻撃をかばう。, 0.3, 0
マジックウォード Lv2, 一定確率で瀕死の味方への攻撃をかばう。, 0.4, 0
マジックウォード Lv3, 一定確率で瀕死の味方への攻撃をかばう。, 0.5, 0
マジックウォード Lv4, 一定確率で瀕死の味方への攻撃をかばう。, 0.6, 0
マジックウォード Lv5, 一定確率で瀕死の味方への攻撃をかばう。, 0.7, 0
【杖】エレメントコール Lv1, 杖を装備すると、魔法攻撃力と魔法防御力が上がる。, 0, 0
【【杖】エレメントコール Lv1】, , 20, 0
【【杖】エレメントコール Lv1】, , 5, 0
【杖】エレメントコール Lv2, 杖を装備すると、魔法攻撃力と魔法防御力が上がる。, 0, 0
【【杖】エレメントコール Lv2】, , 30, 0
【【杖】エレメントコール Lv2】, , 10, 0
【杖】エレメントコール Lv3, 杖を装備すると、魔法攻撃力と魔法防御力が上がる。, 0, 0
【【杖】エレメントコール Lv3】, , 40, 0
【【杖】エレメントコール Lv3】, , 15, 0
【杖】エレメントコール Lv4, 杖を装備すると、魔法攻撃力と魔法防御力が上がる。, 0, 0
【【杖】エレメントコール Lv4】, , 50, 0
【【杖】エレメントコール Lv4】, , 20, 0
【杖】エレメントコール Lv5, 杖を装備すると、魔法攻撃力と魔法防御力が上がる。, 0, 0
【【杖】エレメントコール Lv5】, , 60, 0
【【杖】エレメントコール Lv5】, , 25, 0
薬士の秘策 Lv1, 戦闘開始時に1回のみ仲間の全ての被ダメージを20%軽減させる。, 0, 0
薬士の秘策 Lv2, 戦闘開始時に1回のみ仲間の全ての被ダメージを30%軽減させる。, 0, 0
薬士の秘策 Lv3, 戦闘開始時に1回のみ仲間の全ての被ダメージを40%軽減させる。, 0, 0
薬士の秘策 Lv4, 戦闘開始時に1回のみ仲間の全ての被ダメージを50%軽減させる。, 0, 0
薬士の秘策 Lv5, 戦闘開始時に1回のみ仲間の全ての被ダメージを60%軽減させる。, 0, 0
さがしもの Lv1, ボス戦以外のバトル終了時、一定確率でドロップしたアイテムの獲得数アップ。同一効果のスキルは重複発動しない。, 0.1, 0
さがしもの Lv2, ボス戦以外のバトル終了時、一定確率でドロップしたアイテムの獲得数アップ。同一効果のスキルは重複発動しない。, 0.2, 0
さがしもの Lv3, ボス戦以外のバトル終了時、一定確率でドロップしたアイテムの獲得数アップ。同一効果のスキルは重複発動しない。, 0.3, 0
さがしもの Lv4, ボス戦以外のバトル終了時、一定確率でドロップしたアイテムの獲得数アップ。同一効果のスキルは重複発動しない。, 0.4, 0
さがしもの Lv5, ボス戦以外のバトル終了時、一定確率でドロップしたアイテムの獲得数アップ。同一効果のスキルは重複発動しない。, 0.5, 0
柔軟 Lv1, HPが半分以下のとき物理被ダメージを軽減し、沈黙耐性が上昇する。, 0, 0
【柔軟 Lv1】, , 0.05, 0
【柔軟 Lv1】, , 0, 0
柔軟 Lv2, HPが半分以下のとき物理被ダメージを軽減し、沈黙耐性が上昇する。, 0, 0
【柔軟 Lv2】, , 0.1, 0
【柔軟 Lv2】, , 0, 0
柔軟 Lv3, HPが半分以下のとき物理被ダメージを軽減し、沈黙耐性が上昇する。, 0, 0
【柔軟 Lv3】, , 0.15, 0
【柔軟 Lv3】, , 0, 0
柔軟 Lv4, HPが半分以下のとき物理被ダメージを軽減し、沈黙耐性が上昇する。, 0, 0
【柔軟 Lv4】, , 0.2, 0
【柔軟 Lv4】, , 0, 0
柔軟 Lv5, HPが半分以下のとき物理被ダメージを軽減し、沈黙耐性が上昇する。, 0, 0
【柔軟 Lv5】, , 0.25, 0
【柔軟 Lv5】, , 0, 0
道具の扱い Lv1, 自身が使用するアイテム効果がアップし、さらにマニュアルアイテムの再使用時間が短縮される。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【道具の扱い Lv1】, , 0.05, 0
【道具の扱い Lv1】, , 0.05, 0
【道具の扱い Lv1】, , 0.05, 0
道具の扱い Lv2, 自身が使用するアイテム効果がアップし、さらにマニュアルアイテムの再使用時間が短縮される。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【道具の扱い Lv2】, , 0.1, 0
【道具の扱い Lv2】, , 0.1, 0
【道具の扱い Lv2】, , 0.1, 0
道具の扱い Lv3, 自身が使用するアイテム効果がアップし、さらにマニュアルアイテムの再使用時間が短縮される。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【道具の扱い Lv3】, , 0.15, 0
【道具の扱い Lv3】, , 0.15, 0
【道具の扱い Lv3】, , 0.15, 0
道具の扱い Lv4, 自身が使用するアイテム効果がアップし、さらにマニュアルアイテムの再使用時間が短縮される。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【道具の扱い Lv4】, , 0.2, 0
【道具の扱い Lv4】, , 0.2, 0
【道具の扱い Lv4】, , 0.2, 0
道具の扱い Lv5, 自身が使用するアイテム効果がアップし、さらにマニュアルアイテムの再使用時間が短縮される。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【道具の扱い Lv5】, , 0.25, 0
【道具の扱い Lv5】, , 0.25, 0
【道具の扱い Lv5】, , 0.25, 0
パワーインパクト Lv1, 仲間が攻撃した後、一定確率で行動順番関係なく追撃することがある。, 0.2, 0
パワーインパクト Lv2, 仲間が攻撃した後、一定確率で行動順番関係なく追撃することがある。, 0.3, 0
パワーインパクト Lv3, 仲間が攻撃した後、一定確率で行動順番関係なく追撃することがある。, 0.4, 0
Wドロー Lv1, 仲間がマニュアル攻撃アイテムを使用した際、一定確率で同じアイテムを使って強力な追撃をする。ドローしたアイテムは消費されない。, 0.3, 0
Wドロー Lv2, 仲間がマニュアル攻撃アイテムを使用した際、一定確率で同じアイテムを使って強力な追撃をする。ドローしたアイテムは消費されない。, 0.4, 0
Wドロー Lv3, 仲間がマニュアル攻撃アイテムを使用した際、一定確率で同じアイテムを使って強力な追撃をする。ドローしたアイテムは消費されない。, 0.5, 0
Wドロー Lv4, 仲間がマニュアル攻撃アイテムを使用した際、一定確率で同じアイテムを使って強力な追撃をする。ドローしたアイテムは消費されない。, 0.6, 0
Wドロー Lv5, 仲間がマニュアル攻撃アイテムを使用した際、一定確率で同じアイテムを使って強力な追撃をする。ドローしたアイテムは消費されない。, 0.8, 0
古き錬金術の知恵 Lv1, 自身が使用する攻撃系アイテムのダメージが上がり、マニュアルアイテムの再使用時間が短縮。ただし0にはならない。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【古き錬金術の知恵 Lv1】, , 0.1, 0
【古き錬金術の知恵 Lv1】, , 0.1, 0
古き錬金術の知恵 Lv2, 自身が使用する攻撃系アイテムのダメージが上がり、マニュアルアイテムの再使用時間が短縮。ただし0にはならない。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【古き錬金術の知恵 Lv2】, , 0.15, 0
【古き錬金術の知恵 Lv2】, , 0.2, 0
古き錬金術の知恵 Lv3, 自身が使用する攻撃系アイテムのダメージが上がり、マニュアルアイテムの再使用時間が短縮。ただし0にはならない。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【古き錬金術の知恵 Lv3】, , 0.2, 0
【古き錬金術の知恵 Lv3】, , 0.3, 0
古き錬金術の知恵 Lv4, 自身が使用する攻撃系アイテムのダメージが上がり、マニュアルアイテムの再使用時間が短縮。ただし0にはならない。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【古き錬金術の知恵 Lv4】, , 0.25, 0
【古き錬金術の知恵 Lv4】, , 0.4, 0
古き錬金術の知恵 Lv5, 自身が使用する攻撃系アイテムのダメージが上がり、マニュアルアイテムの再使用時間が短縮。ただし0にはならない。複数のキャラクターが持つ場合は最も高い効果のみが発動, 0, 0
【古き錬金術の知恵 Lv5】, , 0.3, 0
【古き錬金術の知恵 Lv5】, , 0.5, 0
プロテクション Lv1, 戦闘開始時に自身の物理攻撃力と物理防御力が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
プロテクション Lv2, 戦闘開始時に自身の物理攻撃力と物理防御力が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
プロテクション Lv3, 戦闘開始時に自身の物理攻撃力と物理防御力が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
プロテクション Lv4, 戦闘開始時に自身の物理攻撃力と物理防御力が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
プロテクション Lv5, 戦闘開始時に自身の物理攻撃力と物理防御力が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
分析能力 Lv1, クリティカル率とクリティカルダメージが上がる。, 0, 0
【分析能力 Lv1】, , 10, 0
【分析能力 Lv1】, , 0.1, 0
分析能力 Lv2, クリティカル率とクリティカルダメージが上がる。, 0, 0
【分析能力 Lv2】, , 15, 0
【分析能力 Lv2】, , 0.2, 0
分析能力 Lv3, クリティカル率とクリティカルダメージが上がる。, 0, 0
【分析能力 Lv3】, , 20, 0
【分析能力 Lv3】, , 0.3, 0
分析能力 Lv4, クリティカル率とクリティカルダメージが上がる。, 0, 0
【分析能力 Lv4】, , 25, 0
【分析能力 Lv4】, , 0.4, 0
分析能力 Lv5, クリティカル率とクリティカルダメージが上がる。, 0, 0
【分析能力 Lv5】, , 30, 0
【分析能力 Lv5】, , 0.5, 0
リーダーシップ Lv1, 自身のHPが半分以下のとき、スキルゲージが溜まりやすくなる。, 0.1, 0
リーダーシップ Lv2, 自身のHPが半分以下のとき、スキルゲージが溜まりやすくなる。, 0.125, 0
リーダーシップ Lv3, 自身のHPが半分以下のとき、スキルゲージが溜まりやすくなる。, 0.15, 0
リーダーシップ Lv4, 自身のHPが半分以下のとき、スキルゲージが溜まりやすくなる。, 0.175, 0
リーダーシップ Lv5, 自身のHPが半分以下のとき、スキルゲージが溜まりやすくなる。, 0.2, 0
火事場の馬鹿力 Lv1, 自身のHPが半分以下のとき、クリティカル率と与ダメージが上がる。, 0, 0
【火事場の馬鹿力 Lv1】, , 10, 0
【火事場の馬鹿力 Lv1】, , 0.1, 0
火事場の馬鹿力 Lv2, 自身のHPが半分以下のとき、クリティカル率と与ダメージが上がる。, 0, 0
【火事場の馬鹿力 Lv2】, , 15, 0
【火事場の馬鹿力 Lv2】, , 0.2, 0
火事場の馬鹿力 Lv3, 自身のHPが半分以下のとき、クリティカル率と与ダメージが上がる。, 0, 0
【火事場の馬鹿力 Lv3】, , 20, 0
【火事場の馬鹿力 Lv3】, , 0.3, 0
火事場の馬鹿力 Lv4, 自身のHPが半分以下のとき、クリティカル率と与ダメージが上がる。, 0, 0
【火事場の馬鹿力 Lv4】, , 25, 0
【火事場の馬鹿力 Lv4】, , 0.4, 0
火事場の馬鹿力 Lv5, 自身のHPが半分以下のとき、クリティカル率と与ダメージが上がる。, 0, 0
【火事場の馬鹿力 Lv5】, , 30, 0
【火事場の馬鹿力 Lv5】, , 0.5, 0
新式錬金術 Lv1, バトル中、一定確率で【攻撃】アイテムを使用する。一定確率で発動時にターン数を消費しない。, 0, 0
【新式錬金術 Lv1】, , 0.4, 0
【新式錬金術 Lv1】, , 0, 0
新式錬金術 Lv2, バトル中、一定確率で【攻撃】アイテムを使用する。一定確率で発動時にターン数を消費しない。, 0, 0
【新式錬金術 Lv2】, , 0.5, 0
【新式錬金術 Lv2】, , 0, 0
新式錬金術 Lv3, バトル中、一定確率で【攻撃】アイテムを使用する。一定確率で発動時にターン数を消費しない。, 0, 0
【新式錬金術 Lv3】, , 0.6, 0
【新式錬金術 Lv3】, , 0, 0
新式錬金術 Lv4, バトル中、一定確率で【攻撃】アイテムを使用する。一定確率で発動時にターン数を消費しない。, 0, 0
【新式錬金術 Lv4】, , 0.7, 0
【新式錬金術 Lv4】, , 0, 0
新式錬金術 Lv5, バトル中、一定確率で【攻撃】アイテムを使用する。一定確率で発動時にターン数を消費しない。, 0, 0
【新式錬金術 Lv5】, , 0.8, 0
【新式錬金術 Lv5】, , 0, 0
ファイアウォール Lv1, 戦闘開始時に全員の火属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ファイアウォール Lv2, 戦闘開始時に全員の火属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ファイアウォール Lv3, 戦闘開始時に全員の火属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ファイアウォール Lv4, 戦闘開始時に全員の火属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ファイアウォール Lv5, 戦闘開始時に全員の火属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ウインドウォール Lv1, 戦闘開始時に全員の風属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ウインドウォール Lv2, 戦闘開始時に全員の風属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ウインドウォール Lv3, 戦闘開始時に全員の風属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ウインドウォール Lv4, 戦闘開始時に全員の風属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
ウインドウォール Lv5, 戦闘開始時に全員の風属性が上昇する。効果は一定時間有効。戦闘開始時のステータス上昇は最も高い効果のみが発動。, 0, 0
風精のいたずら Lv1, 戦闘開始時に敵全体の物理攻撃力、魔法攻撃力、すばやさが減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
風精のいたずら Lv2, 戦闘開始時に敵全体の物理攻撃力、魔法攻撃力、すばやさが減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
風精のいたずら Lv3, 戦闘開始時に敵全体の物理攻撃力、魔法攻撃力、すばやさが減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
風精のいたずら Lv4, 戦闘開始時に敵全体の物理攻撃力、魔法攻撃力、すばやさが減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
風精のいたずら Lv5, 戦闘開始時に敵全体の物理攻撃力、魔法攻撃力、すばやさが減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
火精のいたずら Lv1, 戦闘開始時に敵全体の物理防御力、魔法防御力が減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
火精のいたずら Lv2, 戦闘開始時に敵全体の物理防御力、魔法防御力が減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
火精のいたずら Lv3, 戦闘開始時に敵全体の物理防御力、魔法防御力が減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
火精のいたずら Lv4, 戦闘開始時に敵全体の物理防御力、魔法防御力が減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
火精のいたずら Lv5, 戦闘開始時に敵全体の物理防御力、魔法防御力が減少する。効果は一定時間有効。戦闘開始時のステータス減少は最も高い効果のみが発動。, 0, 0
ファイアスティール Lv1, スキルを含む火属性で与えたダメージの一定割合を回復する。, 0.2, 0
ファイアスティール Lv2, スキルを含む火属性で与えたダメージの一定割合を回復する。, 0.25, 0
ファイアスティール Lv3, スキルを含む火属性で与えたダメージの一定割合を回復する。, 0.3, 0
ファイアスティール Lv4, スキルを含む火属性で与えたダメージの一定割合を回復する。, 0.35, 0
ファイアスティール Lv5, スキルを含む火属性で与えたダメージの一定割合を回復する。, 0.4, 0
ウインドスティール Lv1, スキルを含む風属性で与えたダメージの一定割合を回復する。, 0.2, 0
ウインドスティール Lv2, スキルを含む風属性で与えたダメージの一定割合を回復する。, 0.25, 0
ウインドスティール Lv3, スキルを含む風属性で与えたダメージの一定割合を回復する。, 0.3, 0
ウインドスティール Lv4, スキルを含む風属性で与えたダメージの一定割合を回復する。, 0.35, 0
ウインドスティール Lv5, スキルを含む風属性で与えたダメージの一定割合を回復する。, 0.4, 0
エーテルポイント Lv1, スキル連携した時、効果が上がる。, 0.1, 0
エーテルポイント Lv2, スキル連携した時、効果が上がる。, 0.15, 0
エーテルポイント Lv3, スキル連携した時、効果が上がる。, 0.2, 0
エーテルポイント Lv4, スキル連携した時、効果が上がる。, 0.25, 0
エーテルポイント Lv5, スキル連携した時、効果が上がる。, 0.3, 0
【メイス】素早さ強化+ Lv1, メイスを装備すると、素早さが上がる。, 4, 0
【メイス】素早さ強化+ Lv2, メイスを装備すると、素早さが上がる。, 8, 0
【メイス】素早さ強化+ Lv3, メイスを装備すると、素早さが上がる。, 12, 0
【メイス】素早さ強化+ Lv4, メイスを装備すると、素早さが上がる。, 16, 0
【メイス】素早さ強化+ Lv5, メイスを装備すると、素早さが上がる。, 20, 0
【片手剣】物攻強化　Lv1, 片手剣を装備すると、物理攻撃力が上がる。, 20, 0
【片手剣】物攻強化　Lv2, 片手剣を装備すると、物理攻撃力が上がる。, 30, 0
【片手剣】物攻強化　Lv3, 片手剣を装備すると、物理攻撃力が上がる。, 40, 0
【片手剣】物攻強化　Lv4, 片手剣を装備すると、物理攻撃力が上がる。, 50, 0
【片手剣】物攻強化　Lv5, 片手剣を装備すると、物理攻撃力が上がる。, 60, 0
新春万福 Lv1, 戦闘開始時に一定時間、敵全体の魔法防御力を下げる, 0, 0
新春万福 Lv2, 戦闘開始時に一定時間、敵全体の魔法防御力を下げる, 0, 0
新春万福 Lv3, 戦闘開始時に一定時間、敵全体の魔法防御力を下げる, 0, 0
新春万福 Lv4, 戦闘開始時に一定時間、敵全体の魔法防御力を下げる, 0, 0
新春万福 Lv5, 戦闘開始時に一定時間、敵全体の魔法防御力を下げる, 0, 0
長楽萬年 Lv1, 戦闘開始時に一定時間、敵全体の物理防御力を下げる, 0, 0
長楽萬年 Lv2, 戦闘開始時に一定時間、敵全体の物理防御力を下げる, 0, 0
長楽萬年 Lv3, 戦闘開始時に一定時間、敵全体の物理防御力を下げる, 0, 0
長楽萬年 Lv4, 戦闘開始時に一定時間、敵全体の物理防御力を下げる, 0, 0
長楽萬年 Lv5, 戦闘開始時に一定時間、敵全体の物理防御力を下げる, 0, 0
笑門来福 Lv1, 戦闘開始時に一定時間、味方全体のクリティカル率を上げる, 0, 0
笑門来福 Lv2, 戦闘開始時に一定時間、味方全体のクリティカル率を上げる, 0, 0
笑門来福 Lv3, 戦闘開始時に一定時間、味方全体のクリティカル率を上げる, 0, 0
笑門来福 Lv4, 戦闘開始時に一定時間、味方全体のクリティカル率を上げる, 0, 0
笑門来福 Lv5, 戦闘開始時に一定時間、味方全体のクリティカル率を上げる, 0, 0
HPリジェネ Lv1, 自分の行動終了時にHPが一定量回復, 0.1, 0
HPリジェネ Lv2, 自分の行動終了時にHPが一定量回復, 0.15, 0
HPリジェネ Lv3, 自分の行動終了時にHPが一定量回復, 0.2, 0
HPリジェネ Lv4, 自分の行動終了時にHPが一定量回復, 0.25, 0
HPリジェネ Lv5, 自分の行動終了時にHPが一定量回復, 0.3, 0
錬金術の予防薬 Lv1, 火傷、凍結、毒耐性, 0, 0
【錬金術の予防薬 Lv1】, , 0, 0
【錬金術の予防薬 Lv1】, , 0, 0
【錬金術の予防薬 Lv1】, , 0, 0
錬金術の予防薬 Lv2, 火傷、凍結、毒耐性, 0, 0
【錬金術の予防薬 Lv2】, , 0, 0
【錬金術の予防薬 Lv2】, , 0, 0
【錬金術の予防薬 Lv2】, , 0, 0
錬金術の予防薬 Lv3, 火傷、凍結、毒耐性, 0, 0
【錬金術の予防薬 Lv3】, , 0, 0
【錬金術の予防薬 Lv3】, , 0, 0
